year,track,artist,danceability,energy,loudness,speechiness,acousticness,instrumentalness,valence,tempo
1970's,Everything Merges With The Night - 2004 Digital Remaster,Brian Eno,0.279,0.26,-15.101,0.0314,0.766,0.000177,0.158,105.417
1970's,Feel The Beat (Everybody Disco),Ohio Players,0.633,0.847,-13.562,0.0571,0.000791,0.77,0.681,126.459
1970's,Lonely Teardrops,Brian Hyland,0.438,0.609,-8.28,0.029,0.424,0.000143,0.874,137.704
1970's,Agibore,MPB4,0.683,0.912,-8.677,0.0667,0.196,0.00232,0.703,123.452
1970's,"Moeda, Reza e Cor",Dom Salvador,0.495,0.933,-5.583,0.0334,0.491,0.852,0.803,99.274
1970's,Peace On Earth - Concert In Japan,John Coltrane,0.287,0.514,-11.735,0.0481,0.576,0.107,0.549,89.031
1970's,(Bringing Out) The Girl In Me,Maxine Nightingale,0.713,0.756,-7.698,0.0401,0.752,2.22e-06,0.945,116.153
1970's,Blood and Jasmine,Alex de Grassi,0.288,0.135,-24.16,0.0483,0.948,0.853,0.18,151.09
1970's,Sorry Seems To Be The Hardest Word,Elton John,0.433,0.221,-12.774,0.0301,0.839,1.99e-06,0.133,127.692
1970's,After Cease to Exist - 32AR,Throbbing Gristle,0.276,0.376,-17.616,0.087,0.353,0.824,0.045,116.292
1970's,Cheeseburger In Paradise,Jimmy Buffett,0.698,0.689,-12.529,0.0577,0.167,0.000119,0.972,139.997
1970's,Tambo,"Pete ""El Conde"" Rodriguez",0.685,0.494,-11.519,0.0677,0.733,0.00422,0.948,112.982
1970's,If I Were A King,Joe Bataan,0.458,0.496,-10.099,0.0338,0.343,0.000117,0.672,150.263
1970's,No One To Depend On,Santana,0.576,0.687,-10.941,0.0391,0.05,0.0199,0.73,111.034
1970's,Fell For You,The Dramatics,0.402,0.459,-13.261,0.0806,0.461,0.0163,0.655,173.48
1970's,Reminiscing,Little River Band,0.54,0.465,-11.259,0.0302,0.652,0.00544,0.341,94.731
1970's,Let's Get Crazy Tonight,Rupert Holmes,0.784,0.691,-8.426,0.0309,0.0639,4.7e-06,0.965,113.804
1970's,A Dream Goes On Forever,Todd Rundgren,0.602,0.375,-12.308,0.0329,0.114,1.86e-06,0.815,91.202
1970's,Invasión,Los Gatos,0.233,0.623,-9.62,0.141,0.135,0.873,0.291,172.108
1970's,Dark Eye Tango,Al Di Meola,0.381,0.658,-13.976,0.044,0.188,0.474,0.596,127.393
1970's,Goin' Home,The Osmonds,0.517,0.836,-11.008,0.0314,0.122,0.0174,0.96,144.569
1970's,Cool Change,Little River Band,0.388,0.368,-10.984,0.0289,0.319,2.02e-06,0.175,128.527
1970's,La désillusion,Eric Demarsan,0.0697,0.232,-14.64,0.0381,0.27,0.941,0.106,56.846
1970's,Action,Sweet,0.325,0.852,-6.644,0.0504,0.0474,0.00245,0.636,174.799
1970's,Vecchi tempi n.2,Arawak,0.132,0.0703,-25.816,0.0329,0.226,0.915,0.188,83.124
1970's,Good Timin',The Beach Boys,0.568,0.431,-8.376,0.0272,0.485,0.000147,0.457,112.042
1970's,Thinking Of You,Loggins & Messina,0.625,0.509,-15.562,0.0293,0.231,3.48e-05,0.973,125.045
1970's,Rocky Mountain Way,Joe Walsh,0.493,0.376,-15.045,0.0435,0.0241,0.792,0.419,86.47
1970's,Swingle Song,Keith Mansfield,0.382,0.0928,-22.513,0.0353,0.974,0.806,0.592,81.465
1970's,Rip Off,Sham 69,0.313,0.83,-6.786,0.234,0.0132,0,0.706,85.428
1970's,Since I Met You Baby,Freddy Fender,0.786,0.396,-9.38,0.0303,0.52,0.00984,0.712,119.794
1970's,Step Across,Gregory Isaacs,0.881,0.401,-14.136,0.122,0.244,3.72e-05,0.887,95.154
1970's,My Eyes Get Blurry,Kenny Nolan,0.475,0.39,-11.559,0.0318,0.694,5.01e-06,0.378,84.187
1970's,Vou Começar Tudo de Novo,Reginaldo Rossi,0.684,0.579,-11.515,0.0411,0.0795,0.000257,0.694,119.764
1970's,Josie,Kris Kristofferson,0.687,0.352,-14.317,0.028,0.45,0,0.615,96.99
1970's,Everything's Coming Up Love,David Ruffin,0.689,0.856,-7.581,0.0408,0.198,7.25e-06,0.823,107.025
1970's,Rain & Thunder 6,Nature's Mystic Moods,0.224,0.91,-25.863,0.0514,0.00175,0.956,0.027,99.569
1970's,Take It To The Ozone,Freddie Hubbard,0.368,0.438,-16.644,0.0439,0.716,0.916,0.567,156.644
1970's,Someone To Light Up My Life,Antônio Carlos Jobim,0.49,0.203,-16.334,0.0275,0.795,7.7e-05,0.42,102.305
1970's,"Desert Rock (spaceship, orbit)",Deuter,0.303,0.0685,-18.852,0.0535,0.986,0.957,0.0326,123.023
1970's,This Old Man,Mike Seeger,0.649,0.164,-22.99,0.0536,0.903,0,0.711,94.833
1970's,Smokin' In The Boy's Room,Brownsville Station,0.575,0.756,-9.414,0.0544,0.735,0.0401,0.844,127.434
1970's,I'll Hold Out My Hand,The Clique,0.562,0.715,-8.481,0.0272,0.522,0,0.908,102.009
1970's,So You Win Again,Hot Chocolate,0.706,0.538,-9.188,0.0406,0.527,0.143,0.815,104.899
